NAME,nufus
Uzunlar Mh.,631
Aydo?an Mh.,629
Taburlar Mh.,622
Karayatak Mh.,618
Karacakaya Mh.,611
Ahmetadil Mh.,606
Büyükboyal?k Mh.,602
Küçükboyal?k Mh.,601
Ye?ildere Mh.,597
Çatalçe?me Mh.,594
Haydar Mh.,593
?ehriban Mh.,581
Kozaya?? Mh.,578
Elecik Mh.,576
Eskiköy Mh.,570
Hasayaz Mh.,563
Akçata? Mh.,560
?eyhmahmut Mh.,559
Çiftlikköy Mh.,556
De?irmenkaya Mh.,553
Karahöyük Mh.,550
Akkaynak Mh.,544
K?z?lkaya Mh.,540
Bu?ra Mh.,539
Sinanl? Mh.,535
Girmeç Mh.,531
Beyobas? Mh.,521
Çokören Mh.,518
Türk?erefli Mh.,517
U?urlu Mh.,514
Yukar?karaören Mh.,510
K?n?k Mh.,507
Camili Mh.,497
Yeniçöte Mh.,496
A?a??emirler Mh.,496
Y?lanl? Mh.,494
Tav?anl? Mh.,492
Elmada? Mh.,490
Çavu?lu Mh.,490
Karahasanl? Mh.,488
Yukar?kam??l? Mh.,484
A?a??kam??l? Mh.,484
Deliler Mh.,474
Edi?e Mh.,472
Tekkeköy Mh.,472
Akçaali Mh.,472
Kar??yaka Mh.,465
O?ulbey Mh.,465
Hac?lar Mh.,465
Hac?hasan Mh.,458
Gaziosmanpa?a Mh.,456
Bahçelievler Mh.,456
Yurtbeyi Mh.,448
Karao?lan Mh.,446
Yakupabdal Mh.,445
K?br?s Mh.,444
Kusunlar Mh.,442
Ortaköy Mh.,439
Atatürk Mh.,438
Kalaba Mh.,436
Karaköy Mh.,432
Kar??yaka Mh.,429
Kösrelik?z??? Mh.,424
Abadan Mh.,419
Sirkeli Mh.,414
Sar?beyler Mh.,412
Orhaniye Mh.,412
Da?yaka Mh.,411
Anayurt Mh.,408
Ahlatl?bel Mh.,407
Ta?p?nar Mh.,406
Yaylaba? Mh.,405
Yaprac?k Mh.,404
Ulubatl? Hasan Mh.,403
Gaziosmanpa?a Mh.,402
Abazl? Mh.,400
Çi?demli Mh.,399
Bala Mh.,397
Üçem Mh.,396
A??ko?lu Mh.,394
Tolköy Mh.,390
Köseli Mh.,382
Keri?li Mh.,379
Süleymanl? Mh.,377
Ergin Mh.,375
Ulup?nar Mh.,375
Ba?bereket Mh.,374
Saray Mh.,371
Fethiye Mh.,369
Aya? Mh.,359
Suba?? Mh.,359
Tulunta? Mh.,355
?ncek Mh.,354
Kutuören Mh.,344
?kip?nar Mh.,341
Melik?ah Mh.,340
K?z?lca Mh.,338
Dumlup?nar Mh.,337
Yenice Mh.,337
Esenbo?a Merkez Mh.,335
Güldarp? Mh.,333
Akbörk Mh.,332
Gölköy Mh.,331
Kayadibi Mh.,331
Yal?mköy Mh.,327
Kalecik Mh.,326
Ta?p?nar Mh.,325
Çubuk Mh.,324
Akkuzulu Mh.,324
?mamhüseyin Mh.,321
Kapakl? Mh.,319
Akbay?r Mh.,318
Eskiçöte Mh.,318
Küçükali Mh.,317
Saraç Mh.,37
Otac? Mh.,317
Esenler Mh.,314
Çeçtepe Mh.,314
Örencik Mh.,308
P?naryaka Mh.,307
Evci Mh.,302
Çalta Mh.,298
Alibey Mh.,297
Ç?rpan Mh.,296
Bezcikuzören Mh.,295
Kocalar Mh.,295
Dutözü Mh.,294
Tekke Mh.,294
So?ucak Mh.,293
Yass?ören Mh.,288
Örencik Mh.,288
Kazan Mh.,285
Günba?? Mh.,285
Alpagut Mh.,282
?çören Mh.,282
Uçar? Mh.,281
Sancar Mh.,278
Peçenek Mh.,277
Yakupdervi? Mh.,277
Yakuphasan Mh.,276
Karata? Mh.,275
Kavakl? Mh.,274
Özlüce Mh.,273
Durhasan Mh.,273
Güzelhisar Mh.,272
Ç?nar Mh.,272
Do?anoluk Mh.,271
Çardakba?? Mh.,271
Karacalar Mh.,271
Tohumlar Mh.,271
Kömürcü Mh.,271
Evciler Mh.,269
Ya?murdede Mh.,269
Gökçeba? Mh.,269
?ne Mh.,268
K?n?k Mh.,267
Küçükbayat Mh.,265
Keklicek Mh.,265
Karacahasan Mh.,262
Ku?çuali Mh.,261
K?l?çlar Mh.,260
